respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.74852663,0.8769816
26708,0.34469312,0.29494938
26709,0.8020152,0.9793149
26710,0.96790457,0.9929404
26711,0.9298975,0.9522054
26712,0.9849069,0.99880385
26713,0.86830413,0.964539
26714,0.8059881,0.77710074
26715,0.24655285,0.67434305
26716,0.84288603,0.99447316
26717,0.07115601,0.9107878
26718,0.92607874,0.9676009
26719,0.61024344,0.99726367
26720,0.2504979,0.83623683
26721,0.9567192,0.94352543
26722,0.66365725,0.6070199
26723,0.9876325,0.99502003
26724,0.26146352,0.97805655
26725,0.07698438,0.29440632
26726,0.26836577,0.35093632
26727,0.93949723,0.99479586
26728,0.8912489,0.978682
26729,0.8763785,0.9895411
26730,0.4555785,0.80282766
26731,0.22294044,0.81890625
26732,0.56771046,0.6097984
26733,0.9970029,0.9980939
26734,0.9903923,0.89132065
26735,0.585776,0.9011199
26736,0.60148257,0.7640918
26737,0.41285038,0.54927975
26738,0.9866898,0.9939219
26739,0.7232083,0.8511208
26740,0.73917717,0.65213054
26741,0.49827808,0.9950812
26742,0.6282464,0.92966694
26743,0.347739,0.9440269
26744,0.31384608,0.981543
26745,0.48857307,0.99289906
26746,0.8413394,0.9123211
26747,0.4089353,0.74014837
26748,0.5485065,0.5793987
26749,0.5489813,0.9799121
26750,0.91817415,0.9898552
26751,0.94944674,0.9878298
26752,0.6052643,0.711653
26753,0.88843805,0.96904725
26754,0.6588334,0.95373696
26755,0.813426,0.94236976
26756,0.21122478,0.23553303
26757,0.8247274,0.95028967
26758,0.95748264,0.9914056
26759,0.18776277,0.7277216
26760,0.33215344,0.5991957
26761,0.9323879,0.98345274
26762,0.83944273,0.98760426
26763,0.99494296,0.99874926
26764,0.9984425,0.9990232
26765,0.24924311,0.97369665
26766,0.8087117,0.78148043
26767,0.99579805,0.9852763
26768,0.11134524,0.902441
26769,0.5416975,0.82863355
26770,0.33265382,0.9475285
26771,0.20874076,0.49232143
26772,0.4365378,0.95382166
26773,0.22880206,0.8677453
26774,0.1415076,0.9142734
26775,0.2470484,0.94807005
26776,0.9562235,0.94169056
26777,0.69328815,0.996181
26778,0.5426811,0.25863388
26779,0.85348797,0.9640302
26780,0.51348776,0.9969126
26781,0.36844608,0.93362266
26782,0.5001825,0.89866084
26783,0.2784252,0.8448955
26784,0.6530856,0.9921421
26785,0.94759464,0.97482973
26786,0.4355802,0.8574101
26787,0.58888304,0.9573854
26788,0.35231632,0.99581236
26789,0.19495267,0.81456935
26790,0.23408107,0.82225037
26791,0.60063016,0.60949427
26792,0.5350332,0.98492336
26793,0.74080193,0.9974138
26794,0.9774284,0.9919848
26795,0.54531604,0.9987016
26796,0.21919751,0.35073435
26797,0.80292034,0.9827784
26798,0.8787724,0.82058287
26799,0.8487417,0.8597617
26800,0.54095244,0.99810094
26801,0.8981405,0.9028459
26802,0.6046318,0.82809466
26803,0.2724966,0.75306094
26804,0.44697183,0.48904645
26805,0.51381195,0.61821496
26806,0.26903987,0.9964561
26807,0.9055324,0.99443036
26808,0.58445054,0.94355834
26809,0.9665146,0.79918104
26810,0.4623143,0.70555675
26811,0.17311022,0.38391492
26812,0.8687964,0.9904889
26813,0.9361031,0.9021684
26814,0.21488294,0.96448976
26815,0.10815022,0.33328524
26816,0.45633563,0.71682554
26817,0.3077113,0.9648502
26818,0.8239813,0.88942724
26819,0.8415581,0.8650296
26820,0.6364813,0.7875049
26821,0.34522423,0.97142684
26822,0.6118309,0.96947306
26823,0.83782566,0.93407154
26824,0.148505,0.9780909
26825,0.9131601,0.9691139
26826,0.42029685,0.9711198
26827,0.1808456,0.573559
26828,0.5386418,0.9430325
26829,0.9877781,0.9959418
26830,0.17311954,0.97944885
26831,0.70357823,0.9942439
26832,0.35150635,0.9841135
26833,0.3020345,0.93967295
26834,0.8125262,0.9544936
26835,0.9159246,0.994718
26836,0.85658634,0.9817539
26837,0.6668233,0.2004587
26838,0.7076518,0.9468516
26839,0.49360886,0.9139312
26840,0.6253847,0.72360927
26841,0.96374744,0.98652124
26842,0.46783963,0.78324026
26843,0.4143091,0.50012225
26844,0.40477496,0.87824756
26845,0.24879986,0.98196465
26846,0.35159317,0.9881598
26847,0.89370877,0.76822686
26848,0.24560726,0.9832955
26849,0.91298336,0.9738627
26850,0.9621735,0.9721299
26851,0.37331164,0.46005344
26852,0.32970694,0.567279
26853,0.8981177,0.9530015
26854,0.12308747,0.50794685
26855,0.9175864,0.9889625
26856,0.44229847,0.20184189
26857,0.9673651,0.7967334
26858,0.63425845,0.97132474
26859,0.25523528,0.6471606
26860,0.70077956,0.54319745
26861,0.3386536,0.58037233
26862,0.32650882,0.8501077
26863,0.48574802,0.9400329
26864,0.9089633,0.92329675
26865,0.18984169,0.30514303
26866,0.55076647,0.95709723
26867,0.7815308,0.81243306
26868,0.99323857,0.99578756
26869,0.20350705,0.7964171
26870,0.98140645,0.9938356
26871,0.26614174,0.34445983
26872,0.37457517,0.839576
26873,0.48478708,0.97287524
26874,0.38948393,0.6676178
26875,0.8929302,0.9952335
26876,0.47902694,0.46400565
26877,0.59482193,0.53942174
26878,0.7199484,0.7543342
26879,0.06443307,0.27648395
26880,0.6077481,0.65922385
26881,0.23555788,0.65184075
26882,0.18336894,0.3701694
26883,0.55480546,0.8612962
26884,0.8511481,0.85235596
26885,0.86638266,0.9799672
26886,0.57146937,0.9902215
26887,0.98136544,0.99231917
26888,0.9963527,0.9976221
26889,0.15611406,0.67713
26890,0.54929096,0.9105735
26891,0.9596065,0.978584
26892,0.5206402,0.97193754
26893,0.30188048,0.62864006
26894,0.8838736,0.8767683
26895,0.3614791,0.9907222
26896,0.6131123,0.38458076
26897,0.47313425,0.9452597
26898,0.69412655,0.96978956
26899,0.22499104,0.43232596
26900,0.6684435,0.81139004
26901,0.18899399,0.9150812
26902,0.65604067,0.9966028
26903,0.67023844,0.4541793
26904,0.5937268,0.8956731
26905,0.8970475,0.9909779
26906,0.21766973,0.8717454
26907,0.07488579,0.9562421
26908,0.48413247,0.98618406
26909,0.68430495,0.7891825
26910,0.6001395,0.8792056
26911,0.447504,0.553642
26912,0.94431394,0.9969495
26913,0.9636148,0.98559475
26914,0.32658172,0.7780988
26915,0.5004506,0.9677443
26916,0.26801023,0.88926977
26917,0.10626286,0.25193295
26918,0.99541074,0.9980527
26919,0.58711076,0.9426665
26920,0.1914221,0.6084388
26921,0.7210908,0.9934103
26922,0.1804342,0.9876881
26923,0.8740945,0.9549928
26924,0.9933282,0.9981717
26925,0.8192766,0.9869047
26926,0.9554184,0.9556841
26927,0.9330975,0.98105705
26928,0.69299746,0.9615856
26929,0.7660214,0.83367664
26930,0.97747314,0.99138314
26931,0.8049359,0.92496425
26932,0.550583,0.99723804
26933,0.19204584,0.9661655
26934,0.89333534,0.95979136
26935,0.55727255,0.933798
26936,0.8679264,0.86034685
26937,0.8091902,0.984082
26938,0.30287454,0.39501467
26939,0.53226113,0.6102222
26940,0.6119982,0.7670473
26941,0.7242449,0.9382927
26942,0.9799265,0.9927247
26943,0.55760866,0.9645304
26944,0.29615885,0.71860164
26945,0.39173564,0.96292645
26946,0.47111702,0.97823936
26947,0.79361933,0.9694548
26948,0.35296595,0.42212862
26949,0.23850039,0.5084095
26950,0.4584935,0.95667917
26951,0.62078553,0.8769037
26952,0.9907094,0.9974527
26953,0.9687844,0.9976162
26954,0.075431146,0.5039613
26955,0.61706877,0.97683
26956,0.77188796,0.8496997
26957,0.36762667,0.99743634
26958,0.5243481,0.987755
26959,0.4401296,0.8611893
26960,0.13767436,0.39818484
26961,0.90776587,0.95592576
26962,0.7233637,0.99235666
26963,0.59119886,0.8524436
26964,0.5062275,0.8047288
26965,0.9659304,0.9952586
26966,0.36382088,0.47765633
26967,0.6994068,0.9399997
26968,0.46785685,0.99260825
26969,0.5697322,0.73803276
26970,0.9867444,0.9651411
26971,0.66991234,0.8301621
26972,0.099742904,0.19905867
26973,0.38235393,0.7512061
26974,0.8357544,0.8838198
26975,0.76074076,0.98311836
26976,0.99107236,0.9788543
26977,0.7086473,0.9219506
26978,0.1718964,0.989077
26979,0.9522505,0.992141
26980,0.44884294,0.6370466
26981,0.2408679,0.90723807
26982,0.98748696,0.99541485
26983,0.81379145,0.96449405
26984,0.21318062,0.70225465
26985,0.17432067,0.5242472
26986,0.51782316,0.92696965
26987,0.40876386,0.7577008
26988,0.16317597,0.5636743
26989,0.9483847,0.98988414
26990,0.09016415,0.54556966
26991,0.77762794,0.9196494
26992,0.9269403,0.9250234
26993,0.42803222,0.98704046
26994,0.7139356,0.9181462
26995,0.41054747,0.9063108
26996,0.94451594,0.9053182
26997,0.20332998,0.4436129
26998,0.37208632,0.32915622
26999,0.8454212,0.9455999
27000,0.3548283,0.89481884
27001,0.33329007,0.98131573
27002,0.06532509,0.7654972
27003,0.047893137,0.24878812
27004,0.7827751,0.89251447
27005,0.9061618,0.993345
27006,0.9909825,0.9942472
27007,0.15177913,0.30562538
27008,0.2961723,0.27111423
27009,0.67827725,0.8886389
27010,0.1263056,0.69247264
27011,0.41563326,0.6430441
27012,0.8240474,0.95728606
27013,0.7574707,0.92685676
27014,0.19978185,0.83782434
27015,0.8436186,0.8359238
27016,0.73845154,0.8965848
27017,0.9657737,0.9885133
27018,0.27436912,0.838501
27019,0.9955777,0.9987962
27020,0.8882293,0.8396128
27021,0.85089403,0.9763901
27022,0.5953257,0.78736264
27023,0.550049,0.74467397
27024,0.49084726,0.8827224
27025,0.8741357,0.5564452
27026,0.1709133,0.91185427
27027,0.39843318,0.98608285
27028,0.9577361,0.99572396
27029,0.76713055,0.92441106
27030,0.8952272,0.8526617
27031,0.9168494,0.9936115
27032,0.6879531,0.96460986
27033,0.9572985,0.9813659
27034,0.115302734,0.9802027
27035,0.8153007,0.92130405
27036,0.88302594,0.98755187
27037,0.9775089,0.98669887
